Key	Action
Ctrl+Z	Undo
Ctrl+Y	Redo
Ctrl+F	Search for text
Ctrl+Shift+D	Start (or stop) dictation
Ctrl+Shift+F	Enter (or leave) full-screen mode
Ctrl+O	View list of all your projects
Ctrl+D	Make lines into dual dialogue
Ctrl+K	Drop (or remove) a pin to return to
Ctrl+J	Move cursor to previously dropped pin
Ctrl+G	Go to a page or scene number
Ctrl+B	Bold
Ctrl+I	Italic
Ctrl+U	Underline
Ctrl+A	Select all
Ctrl+P	Print
Ctrl+]	Add revision mark
Ctrl+[	Remove revision mark
Ctrl+Alt+]	Decrease right margin (expand line)
Ctrl+Alt+[	Increase right margin (shrink line)
Alt+Arrow Up	Move current selection up one line
Alt+Arrow Down	Move current selection down one line
Ctrl+/	Lowercase selection, or stop line auto-caps
Ctrl+\	Uppercase selection, or make line auto-caps
Ctrl+.	Open line comments
Ctrl+Shift+.	Open all comments
Ctrl+Alt+T	Open line tags
Ctrl+1	Change line type to Scene
Ctrl+2	Change line type to Action
Ctrl+3	Change line type to Character
Ctrl+4	Change line type to Parens
Ctrl+5	Change line type to Dialogue
Ctrl+6	Change line type to Transition
Ctrl+7	Change line type to Shot
Alt+C	Change line type to Character
Alt+D	Change line type to Dialogue
Alt+P	Change line type to Parens
Alt+A	Change line type to Action
Alt+S	Change line type to Scene
Alt+H	Change line type to Shot
Alt+T	Change line type to Transition
